Estimate,Std. Error,t value,Pr(>|t|)
drink_days10 to 19 days,0.00983281239984426,0.823108233907439,0.0119459531502512,0.990470103792215
drink_days20 to 29 days,2.27635978924911,1.26301319222097,1.80232463387512,0.0716672411418076
drink_days3 to 5 days,-0.13901222610173,0.513389808127412,-0.270773248516127,0.786597532892004
drink_days6 to 9 days,-1.00921145774152,0.712840100746967,-1.41576134210743,0.157024255079382
drink_daysAll 30 days,-14.1579777451691,1.32229024534929,-10.7071634196539,5.93206915657993e-26
marijuana_use1 to 2 times,-0.245321864256309,0.388443215746228,-0.631551419388358,0.527762949972963
marijuana_use10 to 19 times,-0.960633925107361,0.527961689198145,-1.81951445485817,0.0690046570148794
marijuana_use20 to 39 times,-0.0623937416534103,0.863040338185806,-0.0722952785550764,0.942375226064429
marijuana_use3 to 9 times,-1.33821114374914,0.445710338748944,-3.00242338444591,0.00271653006581323
marijuana_use40 or more times,-1.40016015230091,0.579870748327785,-2.41460731781807,0.0158547050628701
drug_cocaine1 to 2 times,-1.03695729634501,0.680193068384458,-1.52450435698781,0.127564389754101
drug_cocaine10 to 19 times,17.5066983650803,2.20072145352149,7.9549814616779,3.19727349068333e-15
drug_cocaine20 to 39 times,-26.949075773832,3.93717809198973,-6.84476931045117,1.05783177303813e-11
drug_cocaine3 to 9 times,1.62269304941141,1.09414347723806,1.48307153784581,0.138236396624194
drug_cocaine40 or more times,-2.23461349605155,1.92117774505477,-1.16314771072255,0.244928972079715
drug_inhalents1 to 2 times,0.0203950819705081,0.460959190761419,0.0442448754233952,0.964714285487412
drug_inhalents10 to 19 times,0.131457363802154,1.00619126329162,0.130648484635128,0.896068479998767
drug_inhalents20 to 39 times,-0.878738790676903,1.14297303029613,-0.768818482487932,0.442105353777535
drug_inhalents3 to 9 times,0.920285975154774,0.578031005926427,1.59210486240233,0.111542678950352
drug_inhalents40 or more times,-0.304799728537332,0.836329642661693,-0.364449270944505,0.715566807827002
drug_heroin1 to 2 times,3.09650394313658,1.280408307316,2.41837226878627,0.0156921433251355
drug_heroin3 to 9 times,-13.5277544431296,2.33391988198266,-5.79615202199562,8.03835334274371e-09
