Estimate,Std. Error,t value,Pr(>|t|)
drv_text_email1 or 2 days,0.124813203954563,0.553886948226438,0.225340576004215,0.82174064697893
drv_text_email10 to 19 days,1.38007404753658,0.833347787747266,1.65606013218952,0.0978889209442829
drv_text_email20 to 29 days,-1.79078683493528,0.93621220159703,-1.91280014496764,0.0559367063861878
drv_text_email3 to 5 days,-0.640065755944163,0.657792623234507,-0.973050978888791,0.33066244149649
drv_text_email6 to 9 days,-0.24722988989051,1.20659177023307,-0.204899366952217,0.83767457822782
drv_text_emailAll 30 days,0.211833827176826,0.719044241432988,0.294604719668793,0.768330798384779
unsafe1 day,-0.946071618898944,0.865194801875801,-1.09347815873119,0.274334406779875
unsafe2 or 3 days,0.0103758829344675,0.767864767080942,0.0135126436050865,0.989220338634573
unsafe4 to 5 days,3.4346751384456,0.937292382697663,3.66446500777069,0.000255241805783076
unsafe6 or more days,1.77373637787673,1.14206101485048,1.55310123961192,0.120579766937333
bullied_schYes,0.359908968789519,0.362041613181958,0.994109394293944,0.320307044831737
bullied_elecYes,0.800533834069432,0.367531619035694,2.17813595513175,0.0295290232704076
sadYes,0.87753731519403,0.313114084895661,2.80261207504112,0.00512492059375923
suicide_considerYes,1.8649669753012,0.470045429950239,3.96763133193028,7.55208920002194e-05
suicide_planYes,-0.848566884294116,0.52863799637962,-1.60519465135978,0.108631401298956
suicide_attempt1 time,0.685113496640105,0.798068117427894,0.858464937614809,0.390753346284577
suicide_attempt2 or 3 times,0.371172075552236,0.846395911537967,0.438532453302837,0.661054479758157
suicide_attempt4 or 5 times,-0.146368245256583,1.52505386538125,-0.0959757872027637,0.923550791689713
suicide_attempt6 or more times,3.49646148823463,2.21184053682147,1.58079275156934,0.114106142367831
suicide_treatNo,-0.570333041187875,0.779775336656456,-0.73140687372002,0.464628590856067
smoke_days1 to 2 days,0.3225295557071,0.738463140464453,0.436757825860133,0.662340870058196
smoke_days10 to 19 days,0.349640997211067,1.17037394021231,0.298742978801837,0.765171630665336
smoke_days20 to 29 days,-1.87883525226305,2.01562598968543,-0.932134861267727,0.351395412250821
smoke_days3 to 5 days,1.25846418857611,0.963502752379521,1.30613450295616,0.191678470011954
smoke_days6 to 9 days,0.813726474548314,1.02244057173288,0.795866769223732,0.426217417874061
smoke_daysAll 30 days,0.711342630114497,0.738141784502237,0.963693757824844,0.335332628526685
vape_days1 to 2 days,-0.642419070967108,0.557259125088355,-1.15281929365491,0.249142004542372
vape_days10 to 19 days,1.61353443568556,0.883639394466463,1.82601007355472,0.068019062733588
vape_days20 to 29 days,-4.19019875867671,2.62384839462405,-1.59696679398929,0.110453651403607
vape_days3 to 5 days,-0.0754135183730591,0.753625881150023,-0.10006758029326,0.920302135196781
vape_days6 to 9 days,1.71166045659395,1.24525267915994,1.37454870424262,0.169447384113553
vape_daysAll 30 days,-5.53996524858225,3.06872560169128,-1.80529834454048,0.0711998107475382
drink_days1 to 2 days,0.1757460379759,0.363527940326686,0.483445750601632,0.628839750843826
drink_days10 to 19 days,0.00241025328152037,1.02531629242457,0.00235074122914874,0.99812464952158
drink_days20 to 29 days,-1.43181103694727,1.63614236736968,-0.875113966548702,0.38163198693715
